date,G 2,G 3,G 4,G 6,G 7,G 8,G 9,G 10,G 11,G 12,G 13,G 15,G 16,G 18,G 19,G 20,G 21,G 22,G 23,G 24
2022-02-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-16,0.2280000000000002,0.246,0.19700000000000006,0.2629999999999999,0.17700000000000005,,0.23999999999999977,0.15500000000000025,0.15900000000000025,0.1399999999999999,0.10999999999999954,0.2639999999999998,0.30499999999999994,0.3050000000000006,0.2469999999999999,0.34899999999999975,0.021999999999999797,0.3390000000000004,0.34099999999999975,0.262
2022-02-17,0.38500000000000023,0.45599999999999996,0.73,0.6619999999999999,0.5250000000000001,,0.9400000000000004,0.5349999999999997,0.8059999999999996,0.6099999999999997,0.8130000000000002,0.4070000000000009,0.637,1.1409999999999991,1.093,0.5950000000000004,0.47699999999999987,0.3029999999999995,1.1980000000000004,0.802
2022-02-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.010000000000000231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-21,0.006000000000000227,0.0,0.0,0.03699999999999992,0.0,,0.020000000000000462,0.0,0.0,0.0,0.016999999999999904,0.005,0.0,0.0,0.011,0.0,0.12100000000000063,0.0,0.04800000000000003,0.0
2022-02-22,0.07200000000000006,0.18399999999999972,0.0900000000000003,0.08000000000000007,0.052999999999999936,,0.05999999999999961,0.027000000000000135,0.03200000000000003,0.09999999999999964,0.0050000000000003375,0.02699999999999969,0.05900000000000037,0.047999999999999154,0.01100000000000012,0.03300000000000036,0.06600000000000028,0.2490000000000001,0.2560000000000002,0.043000000000000003
2022-02-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-24,0.08999999999999986,0.030000000000000693,0.04200000000000026,0.016000000000000014,0.0,,0.0600000000000005,0.03200000000000003,0.0259999999999998,0.009999999999999787,0.0,0.02100000000000035,0.005999999999999783,0.058999999999999934,0.04900000000000049,0.010000000000000231,0.0,0.037000000000000366,0.020999999999999908,0.064
2022-02-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
